epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,137.45,0.60467,0.93587,1.01311,0.94896,0.39118,0.42232,0.30013,1.74234,2.33521,1.50388,2.82112e-05,2.82112e-05,2.82112e-05
65,139.503,0.66588,0.67864,1.01866,0.94896,0.39118,0.42232,0.30013,1.74234,2.33521,1.50388,2.7905e-05,2.7905e-05,2.7905e-05
66,141.525,0.59877,0.67124,1.00482,0.94912,0.3981,0.42299,0.30882,1.75741,2.34065,1.52449,2.75753e-05,2.75753e-05,2.75753e-05
67,143.668,0.60133,0.71359,1.02695,0.94912,0.3981,0.42299,0.30882,1.75741,2.34065,1.52449,2.7222e-05,2.7222e-05,2.7222e-05
68,145.777,0.63383,0.6195,0.9979,0.94912,0.3981,0.42299,0.30882,1.75741,2.34065,1.52449,2.68451e-05,2.68451e-05,2.68451e-05
69,147.81,0.56292,0.76538,0.99627,0.91995,0.4,0.42301,0.30077,1.76709,2.34319,1.53223,2.64447e-05,2.64447e-05,2.64447e-05
70,149.873,0.6342,0.6869,1.08215,0.91995,0.4,0.42301,0.30077,1.76709,2.34319,1.53223,2.60207e-05,2.60207e-05,2.60207e-05
71,151.933,0.68626,0.90048,1.16348,0.91995,0.4,0.42301,0.30077,1.76709,2.34319,1.53223,2.55731e-05,2.55731e-05,2.55731e-05
72,153.936,0.40654,0.64953,0.88343,0.8866,0.4,0.42346,0.30098,1.78775,2.33639,1.54349,2.5102e-05,2.5102e-05,2.5102e-05
73,156.105,0.54352,0.65019,0.9503,0.8866,0.4,0.42346,0.30098,1.78775,2.33639,1.54349,2.46073e-05,2.46073e-05,2.46073e-05
74,158.272,0.51765,0.63213,0.98356,0.8866,0.4,0.42346,0.30098,1.78775,2.33639,1.54349,2.40891e-05,2.40891e-05,2.40891e-05
