epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,1458.35,1.47481,2.17611,0.89021,1.21231,0.83612,0.76071,0.84565,0.49603,0.82988,0.75295,0.83491,0.45264,1.45705,2.20118,0.87026,1.22971,0.000755429,0.000755429,0.000755429
46,1489.72,1.46824,2.17811,0.8958,1.21338,0.83432,0.76042,0.8487,0.49789,0.83133,0.75453,0.83885,0.45484,1.44691,2.18791,0.87926,1.2262,0.000727143,0.000727143,0.000727143
47,1521.54,1.47855,2.18322,0.90552,1.21709,0.84032,0.7541,0.84195,0.48905,0.83344,0.74792,0.83067,0.444,1.47626,2.21852,0.90376,1.23389,0.000698857,0.000698857,0.000698857
48,1552.32,1.48101,2.18811,0.92529,1.22039,0.83214,0.74953,0.83667,0.48108,0.82768,0.74551,0.82744,0.44344,1.50265,2.24724,0.91266,1.24639,0.000670571,0.000670571,0.000670571
49,1583.86,1.46396,2.16105,0.88735,1.19898,0.83445,0.74634,0.84006,0.49232,0.82658,0.73929,0.83088,0.45167,1.45693,2.18862,0.88997,1.2275,0.000642286,0.000642286,0.000642286
50,1614.66,1.47223,2.17657,0.89039,1.21264,0.83169,0.762,0.84231,0.49136,0.8284,0.7521,0.82983,0.44858,1.46897,2.22205,0.87033,1.23845,0.000614,0.000614,0.000614
51,1647.13,1.45491,2.15409,0.87903,1.20116,0.83822,0.75122,0.84112,0.49249,0.83556,0.7472,0.8321,0.45495,1.46812,2.21981,0.87834,1.236,0.000585714,0.000585714,0.000585714
52,1678.55,1.4732,2.17045,0.88577,1.21194,0.84211,0.76919,0.85408,0.49863,0.84038,0.76271,0.84488,0.45942,1.46535,2.19582,0.85067,1.22806,0.000557429,0.000557429,0.000557429
53,1710.96,1.45633,2.16156,0.88909,1.2022,0.8295,0.76373,0.85037,0.49883,0.82863,0.75338,0.84035,0.45814,1.45615,2.18126,0.86436,1.22569,0.000529143,0.000529143,0.000529143
54,1742.18,1.43423,2.13228,0.85298,1.19754,0.8448,0.74791,0.84394,0.49332,0.83831,0.74217,0.8323,0.45535,1.46522,2.18067,0.87158,1.23463,0.000500857,0.000500857,0.000500857
55,1773.62,1.45135,2.13439,0.87604,1.19618,0.83618,0.77024,0.85266,0.49899,0.83263,0.76344,0.84488,0.45835,1.47551,2.18012,0.85487,1.23675,0.000472571,0.000472571,0.000472571
56,1806.55,1.4414,2.12557,0.85698,1.19184,0.84157,0.77795,0.85431,0.50098,0.84073,0.77163,0.84817,0.46259,1.46222,2.17475,0.84208,1.22824,0.000444286,0.000444286,0.000444286
57,1842.85,1.42732,2.11548,0.85043,1.20242,0.83459,0.76028,0.85092,0.4997,0.83352,0.7495,0.84048,0.45853,1.4525,2.17224,0.86181,1.23077,0.000416,0.000416,0.000416
58,1873.69,1.43226,2.13013,0.85654,1.18869,0.83217,0.77508,0.8508,0.50014,0.82955,0.76449,0.84013,0.45932,1.45507,2.1782,0.8589,1.2275,0.000387714,0.000387714,0.000387714
59,1904.8,1.44682,2.13466,0.85595,1.19232,0.83888,0.76832,0.85489,0.50044,0.83009,0.75941,0.84273,0.45797,1.464,2.19026,0.86618,1.23234,0.000359429,0.000359429,0.000359429
60,1934.73,1.44749,2.13689,0.86005,1.19567,0.8315,0.74892,0.83969,0.49532,0.82929,0.74214,0.83009,0.45179,1.46369,2.20111,0.88241,1.23084,0.000331143,0.000331143,0.000331143
61,1963.24,1.44366,2.14354,0.8851,1.21557,0.83051,0.76991,0.85185,0.49483,0.82353,0.76344,0.8409,0.45481,1.48642,2.19056,0.86635,1.23029,0.000302857,0.000302857,0.000302857
62,1988.1,1.43492,2.12026,0.86795,1.21583,0.83921,0.76329,0.84736,0.49605,0.82998,0.76013,0.83837,0.45804,1.45589,2.1837,0.86401,1.23006,0.000274571,0.000274571,0.000274571
63,2022.81,1.43108,2.12104,0.85344,1.21242,0.84364,0.75927,0.84587,0.49904,0.83426,0.75194,0.83451,0.45429,1.46031,2.18517,0.86266,1.23221,0.000246286,0.000246286,0.000246286
64,2047.25,1.42545,2.10206,0.85132,1.20271,0.83875,0.75729,0.84328,0.4984,0.83512,0.74547,0.83212,0.45548,1.45081,2.17579,0.86536,1.2282,0.000218,0.000218,0.000218
65,2071.51,1.42109,2.09911,0.84822,1.20027,0.83968,0.7689,0.85418,0.50109,0.83428,0.76188,0.84339,0.45914,1.4558,2.1787,0.84868,1.22594,0.000189714,0.000189714,0.000189714
66,2097.28,1.41655,2.08872,0.84008,1.20927,0.84055,0.76674,0.8533,0.50131,0.82931,0.75902,0.84148,0.45665,1.45445,2.17674,0.84807,1.22839,0.000161429,0.000161429,0.000161429
67,2122.2,1.40825,2.07395,0.83401,1.19109,0.83983,0.7597,0.85051,0.49965,0.83679,0.7551,0.84073,0.45713,1.45738,2.17837,0.85273,1.23402,0.000133143,0.000133143,0.000133143
68,2146.84,1.40182,2.06416,0.82105,1.19709,0.84693,0.76657,0.85266,0.50105,0.83784,0.76114,0.84292,0.45903,1.45484,2.17695,0.84182,1.23001,0.000104857,0.000104857,0.000104857
69,2171.24,1.4038,2.07954,0.82354,1.20323,0.84043,0.77048,0.85533,0.50333,0.83238,0.7643,0.84399,0.46221,1.45448,2.16729,0.83972,1.22569,7.65714e-05,7.65714e-05,7.65714e-05
70,2196.79,1.39741,2.06258,0.8189,1.19947,0.84193,0.76401,0.84909,0.50079,0.83506,0.75841,0.83929,0.45751,1.45744,2.17074,0.84427,1.22904,4.82857e-05,4.82857e-05,4.82857e-05
